YEAR,BookID,PhysicalDescription,Place,Publisher,MediaType,Title,ResTitle
2009,4278,81,"Kathmandu, Nepal","Central Department of Management (MBS), T.U.",TEXT MATERIAL,A Case Study of Taxpayers Under Business taxation in Kathmandu Valley,Hari Prasad Shrestha
2001,7145,287,"Kathmandu, Nepal",Bimala shrestha,TEXT MATERIAL,Birds of Nepal  vol.1,Tej Kumar shrestha
2001,5094,486,New Delhi,Tata Mcgraw hill,TEXT MATERIAL,Stereocemistry of Carbon Compounds,Ernest L. Eliel
2003,5987,280,New York,Checkmark Books,TEXT MATERIAL,The facts on file Geometry handbook,Catherine A Gorini
2003,6507,701,New delhi,Vikas Publishing House,TEXT MATERIAL,Public Finance,H.L. Bhatia
2068,7256,260,"Kathmandu, Nepal",Sajha Prakashan,TEXT MATERIAL,Aansu Chhachalkindai Janchha (Nibandha Sangraha),Tara Nath Sharma
1998,2046,43,"Bharatpur, Chitwan",Birendra Multiple Campus,TEXT MATERIAL,An Econometric Analysis of Potato Production,Megha Raj Timilsina
1999,10322,171,New York,Zone Books,TEXT MATERIAL,Remnants of Auschwitz :The witness and the Archive,Giorgio Agamben
2066,6229,531,"Trimurti Niketan , Sanchar gram, Kathmandu Nepal",Mahakabi Devkota Shatabdi Mahotsab,TEXT MATERIAL,Munamadan Samalochana,Dr. shailendra Prakash Nepal
2023,6292,72,Nepal,His Majesty of Government,TEXT MATERIAL,Nepalko Sambidhan,His Majesty of Government
1983,2988,357,Delhi,Macmillan India,TEXT MATERIAL,General Animal Ecology,T.N. Ananthakrishnan | T.R. Viswanathan
2006,5807,135,UNESCO,,TEXT MATERIAL,"Science, Research and Technology in Nepal",Dayananda Bajracharya | Dinesh Raj Bhuju | Jiba Raj pokhrel
0,431,953,New York,Oxford University Press,TEXT MATERIAL,The Modern Tradition:,Richard Ellmann | Charles Feidelson
1934,4961,457,New Delhi,Mcgraw hill,TEXT MATERIAL,Introduction to Atomic Spectra,harvey Elliott White
0,4979,556,,West Publishing Company,TEXT MATERIAL,Fundamentals of Investments,John M. Cheney
2066,6006,182,"Bharatpur, Chitwan, Nepal","Department of  Nepali, ,Birendra Multiple Campus",TEXT MATERIAL,"Dhana Raj giriko Jeevani, Byaktitwo ra Krititwoko Addhyan",Purna Prasad Dawadi
2000,2042,63+X,"Bharatpur, Chitwan",Birendra Multiple Campus,TEXT MATERIAL,Income consumption comparison Between Brahman & Bote Communities,Devi Prasad Paudel
1996,3063,329,Kathmandu,Atharai Prakasshan,TEXT MATERIAL,Mathematics & Statistics for Economics,Kamal R. Dhungel
2001,904,948,London,Heinemann Educational Books,TEXT MATERIAL,Advanced Level Physics,M. Nelkon | P. Parker
1981,986,868,New Delhi,Wiley Eastern,TEXT MATERIAL,Physics of Semiconductor Devices,S.M. Sze
2075,10435,298,"Kathmandu, Nepal",National Book Center,TEXT MATERIAL,"Sociology of Democracy, Diversity and Inequality for B.A, 3rd Yr",Bala Ram Acharya
1986,13841,346,New Delhi,Sterling Publishers,TEXT MATERIAL,Third World Peasantry vol.1,"Misra, R.P, Nguyen Tri Dung"
2010,5476,1144,New Delhi,S. Chand & Company,TEXT MATERIAL,Essentials of Physical Chemistry,Arun Bahl  | B.S. Bahl | G.D. Tuli
2072,9932,358,Putalisadak Katymandu,Pairavi Prakashan,TEXT MATERIAL,Administrative Studies : Theory of Administration & Administration of Nepal for B.A. 3rd Yr,Dr. Buddhi Prasad Bhandari
1980,3391,470,New Delhi,S. Chand & Company,TEXT MATERIAL,Elementary Economic Theory,Kewal Krishna Dewett | J.D. Varma
2055,7004,451,New Delhi,Tata McGraw-Hill Publishing Company,TEXT MATERIAL,Renewing Governance:,Ajit M. Banerjee | K.A. Chandrasekaran
2009,4371,123,"Kirtipur, Kathmandu","Shankar Dev Campus, Department of Management (MBS), T.U.",TEXT MATERIAL,Sales & Service Budgeting & Its Impact on Profitability: With Reference to Nepal Investment Bank Ltd. (NIBL),Spandana Acharya
2010,6822,665,USA,Black well Business,TEXT MATERIAL,Financial Institutions and Markets,Robert W. Kolb | Ricardo J. Rodriguez
2014,12247,35,"Bharatpur, Chitwan","Department Of Chemistry , Birendar Multipel Campus",TEXT MATERIAL,"""Spectrophotometric Determination Of Arsenic In Grouun WATER, SOIL And Rice  By Molybdenumblue Method""","Mainali,Gehendra"
0,7156,158,"Kathmandu, Nepal",Ratna Pustak Bhandar,TEXT MATERIAL,Chhapamar Yuwatiko Diary,Tara Rai
0,3595,,New Delhi,Vani Educational Books,TEXT MATERIAL,The Necklace & Other Stories,R.C. Prasad
2007,5727,385,New Delhi,Prentice hall of India,TEXT MATERIAL,Social Research methods,David Dooley
2001,5362,131,,,TEXT MATERIAL,Report: International symposium on The impact of women's training on socio - economic devlopment,Israel Haifa
2012,8264,491+Others,New Delhi,PHI Learning Pvt. Ltd.,TEXT MATERIAL,Living With Earth: An Introduction to Environmental Geology,Travis Hudson
2073,9854,65,"Biratnagar, Nepal","Department of Mathematics , P.G. Campus",TEXT MATERIAL,"A research Journal in Mathematics M0 vol.3 No.1 ,2016/2073",Surya Kumar Yadav
2003,8824,63,"Birendra Multiple Campus, Bharatpur, Chitwan",Department of  Econoimics,TEXT MATERIAL,Analysis of Millet Production Function An Econometric Approach,Naba Raj Poudel
2059,5337,439,"Kathmandu, Nepal",Department of health services,TEXT MATERIAL,Annual Report 2059(2002/2003),His Majesty's Government of Nepal:Ministry of Helath
1985,5626,254,New Delhi,Sterling Publishersw,TEXT MATERIAL,Scientific Method & Social Research,B.N. Ghosh
1994,747,247,London,Everyman's Library,TEXT MATERIAL,The Temple of The Golden Pavilion,Yukio Mishima
1999,1997,515,London,Mayfield Publishing Company,TEXT MATERIAL,"experiencing Race, Class, and Gender in the Unitd States",Virginia Cyrus
2071,9235,131,"Narayangardh, Chitwan","Chandra Hamal, Ekendra Hamal",TEXT MATERIAL,Panchamrit,Lalit Bir Hamal
2013,7779,39,"Bharatpur, Chitwan","Department of English, Birendra Multiple Campus, T.U",TEXT MATERIAL,Representing Human Instincts in George Orwell's Animal Farm,Pradip Prasad Pokhrel
2053,6117,322,"Kamaladi, Kathmandu",Nepal Rajkiya Pragya Parthisthan,TEXT MATERIAL,Maithili Kabita Sangraha,Ramvaros Kapadi Vramar
2061,18,466,"Pradarshani Marg, Kathmandu",Neema Pustak Prakashan,TEXT MATERIAL,Principles of Management,Sherjung Khadka
2010,8763,61,"Birendra Multiple Campus, Bharatpur, Chitwan",Department of  Econoimics,TEXT MATERIAL,Socio-Economic Impact of Community Forestry,Pushpa Bhattarai
1934,3862,573,Calcutta,The World Press,TEXT MATERIAL,Recent Political Thought,Francis W.Coker
0,8132,,,,TEXT MATERIAL,Object Oriented programming in C++,Robert Lafore
1994,560,368,New York,W.W. Norton & Company,TEXT MATERIAL,Out Ot The Blue,David B. Cohen
1966,3953,371,New York,Penguin Books,TEXT MATERIAL,A Concise History of East Asia,C.P. Fitzgerald
1994,3183,216,Varanasi,Shalimar Publishing House,TEXT MATERIAL,Nepal:,M.D. Dharamdasani
2004,5784,324,Cambridge,University Press,TEXT MATERIAL,Analyzing syntax,Paul R. Kroeger
2008,2000,497,New Delhi,S. Chand & Company,TEXT MATERIAL,A Manual of Practical Zoology: Invertebrate,P.S. Verma
1985,2605,408,New Delhi,Sterling Publishers,TEXT MATERIAL,International Relations and Politics,J.C. Johari
2050,6175,268,"Kavre, Nepal","Prakashan Samiti, Purba ex Number",TEXT MATERIAL,Purba ek number,Krishna Prasad Parajuli
2016,10186,54,"Bharatpur, Chitwan",Birendra Multiple Campus,TEXT MATERIAL,"Socio-Cultural Factor & Consequence Domestic Violence Against Women In Kumal Community of Bharatpur-11 Bhojad, Chitwan",Sunita Kumari Shah
1975,1828,725,London,The English Language Book Society,TEXT MATERIAL,A Dictionary of Modern English Usage,H.W. Fowler
2013,12217,70,"Bharatpur, Chitwan","Department of Economics,Birendar Multipel Campus",TEXT MATERIAL,Problems And Prospects Of Cottage And Small Scale Furniture Industries,"Wagle, Shreedeep"
2003,2783,1157,New Delhi,S. Chand & Company,TEXT MATERIAL,Advanced Inorganic Chemistry Vol.1,Satya Prakash | G.D. Tuli | S.K. Basu | R.D. Madan
2019,12422,48,"Bharatpur,Chitwan","Department Of English,Birendra Multipel Campus",TEXT MATERIAL,Cultural Representaion Of Tamang Community In Bharatpur Metropolitan City,"Tamang,Anita"
2000,4630,326,"Bhotahity, Kathmandu",Nabin Prakashan,TEXT MATERIAL,"Economics of Public Finance, Financial System & International Trade",Shyam Joshi
1985,1108,408,New Delhi,Vani Educational Books,TEXT MATERIAL,"Cytogenetics, Plant Breeding & Evolution",U. Sinha | Sunita Sinha
2001,6440,787+Others,New York,Mcgraw-hill,TEXT MATERIAL,Economics,David C. Colander
2067,5875,354,"Bhotahity, Kathmandu",Asmita Books Publishers & Distributors (P) Ltd.,TEXT MATERIAL,Principles of Management for BBS,Santosh R. Poudyal | Gopal Man Pradhan | Kedar P. Bhandari
1992,9720,466,New York,McGraw-Hill,TEXT MATERIAL,Essentials of Econometrics,Damodar Gujarati
1997,5364,"6-48,28",,,TEXT MATERIAL,The fourth group training course on integrated Urban policy 1997,Asian Urban Information center of Kobe
2014,9056,1002,New Delhi,Jaypee Brothers Medical Publishers,TEXT MATERIAL,Essetnials of Medical Pharmacology,K D Tripathi
1998,121,243,New york,Dell Publishing,TEXT MATERIAL,Alice McDermott ,Charming Billy 
1995,772,529,London,Everyman's Library,TEXT MATERIAL,The Man Who Loved Children,Christina Stead
1998,717,813,London,Everyman's Library,TEXT MATERIAL,The Posthumous Papers of the Pickwick Club,Charles Dickens
2013,9342,624,India,Pearson,TEXT MATERIAL,Real - Time Systems,Jane W. S. Liu
2018,10593,1145,India,Pearson Education,TEXT MATERIAL,Artificial Intelligence,Stuart J. Russell | Peter Norvig
1990,4996,XI17+18,New Delhi,R. Chand & Company,TEXT MATERIAL,Invertebrate Zoology,P.S. Dhami | J.K. Dahami
2017,10120,544,India,Pearson,TEXT MATERIAL,Modern Systems analysis and Design,Jeffery A. Hoffer | Joey F. George | Joseph S. Valacich
2009,4310,113,"Kathmandu, Nepal","Public Youth  Campus, Department of Management (MBS), T.U.",TEXT MATERIAL,Stock Price Behavior & Investment Decision in Nepal,Sony Tuladhar
2046,4827,449,"Pulchowk, Lalitpur",Sajha Prakashan,TEXT MATERIAL,Devkota,Chudamani Bandhu
2013,8570,100,"Bharatpur, Chitwan",Birendra Multiple Campus,TEXT MATERIAL,"Fund Mobilization of Nepalese Commercial Banks (With Reference to HBL, EBL & NIBL)",Kishor Sapkota
2071,8822,379,"Kathmandu, Nepal",Asmita Books Publishers & Distributors (P) Ltd.,TEXT MATERIAL,Human Resource Management For BBS 2nd ( 4 year ),Hridayabir Singh
1994,1650,268,New Delhi,Anmol Publications,TEXT MATERIAL,Dictionary of History,Satish Ganjoo
1996,216,460,New York,W.W. Norton,TEXT MATERIAL,The Norton Anthology of Poetry,Margaret Ferguson | Jon Stallworthy | Mary Jo Salter
2062,4800,270,Kathmandu,National Book centre,TEXT MATERIAL,Nepali Samaj Ra Sanskriti,Balaram Acharya
2053,2443,219,Neapal,His majesty Government of Nepal,TEXT MATERIAL,Bikendrikaran tatha sthaniya swattya sasan sambandi pratibedan,His majesty Government of Nepal
2060,4662,61,"Ratnanagar, Chitwan",Balmiki sahitya sadan,TEXT MATERIAL,Ma Haresh Khana thaleko chhu,Rambabu Ghimire
2004,1035,1114,New Delhi,Pearson Education,TEXT MATERIAL,Physics of Atoms & Molecules,B.H. Bransden | C.J. Joachain
1979,2436,375,New Delhi,Dali Gang Krasing,TEXT MATERIAL,International Law,Usha Saksena
2065,4215,304,"Kathmandu, Nepal",Heritage Publishers & Distributors,TEXT MATERIAL,Introduction to Anthropology & Sociology ( Samajsastra Ra Manabsastrako Parichya),Tika ram Gautam
2012,9175,75,"Chitwan, Nepal","Department of Management, Birendra Multiple Campus",TEXT MATERIAL,Loan Disbursement & Collection of Agricultural Development Bank In Nepal,Shyam Prasad Baral
2054,6155,195,Kathmandu,Sajaha Prakashan,TEXT MATERIAL,Rachana ra Madyam,Dr. Avi Subedi
2018,13594,50,"Bharatpur,Chitwan","Department Of Sociology,Birendra Multiple Campus",TEXT MATERIAL,Decision making Role Among Kumal Women,"SHarma,Janu"
1972,2604,381,Allabadh,Chaitanya Publishing House,TEXT MATERIAL,A History of Political Thought,M.G. Gupta
2001,2311,88,"Bharatpur, Chitwan","M.A . Economics, Birendra Multiple Campus",TEXT MATERIAL,Fertility differential:,Chandra Prakash Acharya
2010,5973,370,"Kathmandu, Nepal",Pairabi Prakashan,TEXT MATERIAL,Mathematics & Statistics For Economics,Devnarayan Sutihar
1991,759,328,London,Everyman's Library,TEXT MATERIAL,Old Goriot,Honore De Balzac
2001,576,388,New York,Random House,TEXT MATERIAL,A Painted House,John Grisham
2069,9031,136,"Birendra Multiple Campus, Bharatpur, Chitwan","Department of Nepali , Birendra Multiple Campus",TEXT MATERIAL,"Sahiyakar Rishiprasad lamichhane  gorkhe sailo ko Jibani, Byaktitwo ra Krititwoko Aadyayan",Durga Joshi
2000,528,130,New York,Dial Books,TEXT MATERIAL,A Year Down Yonder,Richard Peck
1990,1942,582,Delhi,Publishers & Distributors,TEXT MATERIAL,Bloomsbury Dictionary of Word Origins,John Ayto
2013,8277,730,"Bhotahity, Kathmandu",Asmita Books,TEXT MATERIAL,Probability and inference - I for B.Sc. and B.A.,Narendra Prasad Sukubhattu
1984,965,475,Singapore,World Scientific,TEXT MATERIAL,Lectures in Particle Physics Vol.55,Dan Green
1985,3162,224,New Delhi,Vani Educational Books,TEXT MATERIAL,A Textbook of Modern Algebra,R. Balakrishnan | N. Ramabhadran
2040,10396,357,"Kathmandu, Nepal",Sajha Prakashan,TEXT MATERIAL,Samasamayik sajha kabita,Tara Nath Sharma
1995,954,471,Singapore,World Scientific,TEXT MATERIAL,40 Years in Mathematical Physics Vol.2,L.D. Faddeev
2001,3012,714,New Delhi,Prentice-Hall,TEXT MATERIAL,Mathematics for Economists:,Taro Yamane
2078,11066,266,Ktm,Neema pustak,TEXT MATERIAL,Anibarya Nepali,"Niraula,Phanidraraj Niraula ,Lekh prsad"
1997,3575,95,New Delhi,Cambridge University press,TEXT MATERIAL,Meanings into words Intermediate:,Adriam Doff | Adriam Doff | keith Mitchell
2057,4868,273,"Lalitpur, Nepal",Sajha Prakashan,TEXT MATERIAL,Devkotaka Kabita Yatrako Bishleshan Ra Mulyankan,Kumar Bahadur Joshi
2010,5474,859,New Delhi,Tata McGraw-Hill Publishing Company,TEXT MATERIAL,Physical Chemistry,Gordon M. Barrow
1975,4545,872,New York,Simon & Schuster,TEXT MATERIAL,"The Story of Civilization, Part 9:",Will | Ariel Durant
1974,3648,423,London,oxford press,TEXT MATERIAL,Trade Policy and Economic Welfare,W.M.Corden
2013,8563,94,"Bharatpur, Chitwan",Birendra Multiple Campus,TEXT MATERIAL,"Comparative Cash Flow Analysis of Bottlers Nepal (Terai) Ltd, & Unilever Nepal Ltd.",Manju Baral
1990,7879,376,India,Allen and Unwin,TEXT MATERIAL,Invertebrate Palaeontology,Michael J. Benton
1987,1399,944,New Delhi,S. Chand & Company,TEXT MATERIAL,Fundamentals of Magnetism & Electricity,D.N. Vasudeva
2008,2236,84,"Bharatpur, Chitwan","Master of arts in Economic Department,Birendra Multiple Campus",TEXT MATERIAL,Socio-economic Status of Tharu community of Nepal,Januka Sapkota
1992,504,296,New York,A Plume Book,TEXT MATERIAL,Typical American,Gish Jen
1996,495,195,New York,Clarion Books,TEXT MATERIAL,The Ballad of LuckWhipple,Karen Cushman
2007,111,322,Kathmandu,Buddha academic Publishers and distrubutors,TEXT MATERIAL,Organisational Behaviour,Dev Raj Adhikari
1975,1180,244,New Delhi,Oxford & IBH Publishing Company,TEXT MATERIAL,Ecology:,Eugene P. Odum
1998,7557,1041,New Delhi,Narosa Publishing House,TEXT MATERIAL,Calculus and analytic geometry,George B. Thomas | Ross L. Finney
2067,8959,158,"Birendra Multiple Campus, Bharatpur, Chitwan","Department of Nepali , Birendra Multiple Campus",TEXT MATERIAL,Samkalin Nepali Dandakthako Kritiprak Aadyan,Shanta Kumari Ghimire
1999,13922,1211,New York,Harper Collins Publisher,TEXT MATERIAL,Daughter of Fortune,"Allende,Isabel"
2065,4739,132,"Chitwan, Nepal",Chitwan Sahitya Parishad,TEXT MATERIAL,Yatraka Spandanharu,Kedarnath Khanal
2065,8614,60,"Bhaktpur,",Youba sahitya gosthi,TEXT MATERIAL,Garvini Youga ra Kamalka Phulharu,Damodar Suwal
1978,3515,143,Delhi,Oxford University Press,TEXT MATERIAL,The Bridge Intensive Course:,Brendan J. Carroll
0,2769,406,,,TEXT MATERIAL,"Mechanics, Hydrostatics and Properties of Matter",V.K. Shrestha
2005,82,1071,New Delhi,Tata McGraw - Hill Publishing Com,TEXT MATERIAL,Principles corporate finance,Richard A Brealey | Stewart C. Myers
1990,1043,650,New Delhi,Pragati Prakashan,TEXT MATERIAL,Elementary Mathematical Physics,B.S. Rajput
1986,3087,349,Allahabad,Pothishala Private Limited,TEXT MATERIAL,Textbook on Statics,R.S. Varma
2061,6136,179,Kathamandu,Trikona prakashan,TEXT MATERIAL,Sahityako Itihas,Dr. Dayaram Shrestha
0,4583,222,"Kathmandu, Nepal",Sajha Prakashan,TEXT MATERIAL,Swasnimanchhe,Bal Krishna Sam
0,4645,86,"Lalitpur, Nepal",Sajha Prakashan,TEXT MATERIAL,Nepali Nibandha Vol.1,Mohan Raj Sharma
2009,13782,148,New York,Oxford university press,TEXT MATERIAL,Oxford A-Z of Grammar & Punctuation,John Seely
2002,9846,245,New York,Simon,TEXT MATERIAL,Shadowland : The Mediator,Jenny Carroll
2005,44,422,"Kathmandu, Nepal",Buddha Academic Publishers & Distributors Pvt. Limited,TEXT MATERIAL,Business Law,Satya Narayan Kalika
2002,8396,448,New York,McGraw-Hill/Irwin,TEXT MATERIAL,E-Business & E-Commerce Infrastructure: Technologies Supporting The E-Business Initiative,Abhijit Chaudhary | Jean-Pierre Kuilboer
2066,5198,134,"Chitwan, Nepal",Sarala Pandit,TEXT MATERIAL,Yo Achamma Bho !,Prabhakar Pandit
2014,8561,82,"Bharatpur, Chitwan",Birendra Multiple Campus,TEXT MATERIAL,Consumer Behavior Towards Mobile Services (Reference ot Namaste & NCell Mobile Services),Kalpana Sapkota
2002,1073,586,New York,McGraw-Hill,TEXT MATERIAL,Ecology:,Manuel C. Molles
2049,5241,84,"Kathmandu, Nepal",Sajha Prakashan,TEXT MATERIAL,Narendra Dai,Bishweshwor Prasad Koirala
1966,279,692,New York,Viking Press,TEXT MATERIAL,The Portable D.H. Lawrence,Diana Trilling
2010,10107,147,New Delhi,PHI Learning,TEXT MATERIAL,Applications of absorption Spectroscopy of organic Compounds,John R. Dyer
2073,10232,56,"Bharatpur, Chitwan",Birendra Multiple Campus,TEXT MATERIAL,Tharu Jatiko Shaikshik Awasthako Adhyayan,Kamala Devi Acharya
2059,6068,593,"Lalitpur, Nepal",Sajha Prakashan,TEXT MATERIAL,Nepalko Chhapakhana ra Patraparitako Itihas,Grishma Bahadur Devkota
2069,7478,100,"Bagbazar, Kathmandu",Bhudipuran Prakashan,TEXT MATERIAL,Shabda nirman prakriya ra sandhi,Dr. Mati Prasad Dhakal
2072,9617,438,Bagbazar Kathmandu,G7 Publications,TEXT MATERIAL,Business Law for BBS /BBA,Ram Prasad Shrestha
1998,875,266,London,Everyman's Library,TEXT MATERIAL,The Arabian Nights II:,Husain Haddawy
2009,4937,31,New Delhi,Central for Federal Studies,TEXT MATERIAL,Working of the Indian Federal System,Akhtar Majeed
1996,3119,164,Calcutta,U.N. Dhur & Sons,TEXT MATERIAL,Differential Calculus,B.C. Das | B.N. Mukherjee
2066,6076,245,"Kathmandu, Nepal",Pairabi Prakashan,TEXT MATERIAL,Political Thought & Isms (Rajnitik Bichardhara Ra Vadharu),Buddhi Prasad Bhandari
1993,762,299,London,Everyman's Library,TEXT MATERIAL,Brighton Rock,Graham Greene
1994,6197,62,"Kirtipur, kathmandu","Central Department of Physics, Kirtipur",TEXT MATERIAL,A Theoritical study on plasma wake- filed Accelerator and its transformer ratio,Raju Khanal
1995,9893,1943,New Delhi,Raj Kamal Prakashan,TEXT MATERIAL,Paramparaka Mulyankan,Ram Bilash Sharma
1982,1119,396,New Delhi,S. Chand & Company,TEXT MATERIAL,Modern Practical Botany Vol.2,B.P. Pandey
2062,6985,560,"Bhotahity , Kathmandu",Biddarthi Pustak Bhandar,TEXT MATERIAL,Kabitako Samrachanatmak Bishleshan,Dr. Khagendra Prasad Luitel
2020,13602,51,"Bharatpur,Chitwan","Department of Sociology,Birendra Multiple Campus",TEXT MATERIAL,Situation of Foregin Employment And Remittance,Ojha Kalabati
2014,9635,607,New Delhi,"New Age International (P) Limited, Publishers",TEXT MATERIAL,"Experiments in Microbiology, Plant Pathology & Biotechnology",K.R. Aneja
1967,9494,566,London,McGraw Hill Book Company,TEXT MATERIAL,Folding and Fracturing of Rocks ( Photocopy ),John G. Ramsay
2060,6651,224,"Kathmandu, Nepal",Nepal Rajkiya Pragyapratishthan,TEXT MATERIAL,Nepali Samalochana: Bibhinna Aayam,Ram Dayal Rakesh
0,4730,143,"Lalitpur, Nepal",Sajha Prakashan,TEXT MATERIAL,Pachchis Prabandha,Badarinath Bhattrai
1982,154,207,New York,Vintage Books,TEXT MATERIAL,Running in the Family,Michael Ondaatje
2058,5030,164,"kritipur, Kathmandu",New hira books Enterprises,TEXT MATERIAL,Population Policy (Janashankhya Niti),Sanjeeb Dhungel | Hikmat Bahadur Rayamajhi
1982,1527,615,New delhi,Vikas Publishing House,TEXT MATERIAL,Public Finance,H.L. Bhatia
2075,10583,190,"Chitwan, Nepal",Palwab Sahitya Pratishthan,TEXT MATERIAL,Gangotri,D D Sharma
2074,10070,104,"Bagbazar, Kathmandu",Tara Kumari Thapa,TEXT MATERIAL,Mero Desh Kabita Sangrah (à¤®à¥‡à¤°à¥‹ à¤¦à¥‡à¤¶ à¤•à¤µà¤¿à¤¤à¤¾ à¤¸à¤‚à¤—à¥à¤°à¤¹  ),"Santa Bahadur Thapa "" Shant"""
