YEAR,BookID,PhysicalDescription,Place,Publisher,MediaType,Title,ResTitle
2002,8853,80,"Birendra Multiple Campus, Bharatpur, Chitwan",Department of  Econoimics,TEXT MATERIAL,Production function of Paddy,Thanashowar Sapkota
1977,4401,681,Hampshire,Macmillan Education,TEXT MATERIAL,Theory of Econometrics:,A. Koutsoyiannis
2066,6744,1039,New Delhi,Tata McGraw - Hill Publishing Com,TEXT MATERIAL,Principles corporate finance,Richard A Brealey | Stewart C. Myers
2006,953,815,New Delhi,S.  Chand & Company,TEXT MATERIAL,Modern Physics,R. Murugeshan | Kiruthiga Sivaprasath
2019,12479,51,"Bharatpur,Chitwan","Department Of English,Birendra Multiple Campus",TEXT MATERIAL,Failure Of The American Dream In Don Delillo's Cosmpolis,"Dhakal,Sabita"
0,6455,172,"Kathmandu, Nepal",Nepal Rajkiya Pragya Pratishthan,TEXT MATERIAL,Kehi Chintan,Rama Sharma
1978,1507,401,Calcutta,The World Press Private Limited,TEXT MATERIAL,Public Finance in Under-Developed Countries,Ram Niranjan Tripathy
2066,6983,676,"Kathmandu, Nepal",Curriculum Development Centre,TEXT MATERIAL,Kanuni Shabdakosh,Top Bahadur Singha
1993,829,393,London,Everyman's Library,TEXT MATERIAL,The Awkward Age,Henry James
1949,6145,189,New Delhi,National PublishingHouse,TEXT MATERIAL,Ritikabya ki Bhumika,Dr.Nagendra
1998,968,339,Singapore,World Scientific,TEXT MATERIAL,Physics of Clusters,V.D. Lakhno  | G.N. Chuev
2008,4760,349,"Kathmandu, Nepal",Benchmark Education Supports,TEXT MATERIAL,Capital Structure Management,Radhe S. Pradhan
2009,6857,93,"Bharatpur, Chitwan, Nepal","Department of Economics, Birendra Multiple Campus",TEXT MATERIAL,"Current market situation of close - up and pepsodent toothpaste in Nepal : A case study of Bharatpur Municipality, Chitwan",Reeshi Lohani
2067,6626,320,"Kathmandu, Nepal",Mrs. Reeta Timalsina,TEXT MATERIAL,Bhashik Kalko Bishleshan,Mohan Prasad Timalsina
